#size	conv	fft	
3	0.000984	0.00625	
4	0.0023		0.00514	
5	0.00216		0.00567	
6	0.00519		0.00537	
7	0.00506		0.006	
8	0.00819		0.0064	
9	0.00787		0.00703	
10	0.013		0.00636	
11	0.012		0.00591	
12	0.0166		0.00643	
13	0.02		0.00718	
14	0.0235		0.00642	
15	0.0284		0.0528	
16	0.0467		0.0474	
17	0.0347		0.0438	
18	0.0409		0.0449	
19	0.0513		0.0439	
20	0.0568		0.00782	
21	0.056		0.00729	
22	0.0783		0.00745	
23	0.062		0.0073	
24	0.0832		0.00691	
25	0.0837		0.0209	
26	0.101		0.0104	
27	0.0927		0.00883	
28	0.111		0.00883	
29	0.115		0.00852	
30	0.156		0.00979	
30	0.138		0.00939	
35	0.179		0.0087	
40	0.314		0.0489	
45	0.353		0.00858	
50	0.537		0.00834	
55	0.644		0.0156	
60	0.908		0.0179	
65	1.04		0.0226	
70	1.26		0.0135	
75	1.46		0.0241	
80	1.78		0.00877	
85	1.86		0.0694	
90	2.24		0.0102	
95	2.46		0.0528	
100	2.81		0.0263	
